name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,1023,175163624,,,,,,,-114.603101,35.109437,,,
,1024,6992619326,,,,,,,-114.622064,35.1092002,,,
,1025,175163655,,,,,,,-114.6219342,35.1091998,,,
,1026,9348134804,,,,,,,-114.6070201,35.091737,,,
,1027,175163772,,,,,,,-114.6069214,35.093415,,,
,1028,2097698165,,,,,,,-114.5513865,35.1645751,,,
,1029,891135154,stop,,,,,,-114.5525868,35.1643954,,,
,1030,2688397010,,,,,,,-114.5534527,35.1644318,,,
,1031,175164357,,,,,,,-114.6298097,35.1065808,,,
,1032,175164360,turning_circle,,,,,,-114.6300833,35.1065747,,,
,1033,175164383,turning_circle,,,,,,-114.6008225,35.1112924,,,
,1034,175164410,,,,,,,-114.5301032,35.14973,,,
,1035,175164426,,,,,,,-114.5278372,35.1494742,,,
,1036,175164741,,,,,,,-114.5454428,35.1744924,,,
,1037,175164750,,,,,,,-114.5448381,35.1765358,,,
,1038,175164756,,,,,,,-114.5446715,35.1775489,,,
,1039,9387404469,,,,,,,-114.6293024,35.0946823,,,
,1040,175165257,,,,,,,-114.6155054,35.1112626,,,
,1041,175165259,,,,,,,-114.61554,35.110388,,,
,1042,175165262,turning_circle,,,,,,-114.6155194,35.1098446,,,
,1043,175082819,,,,,,,-114.5952977,35.0471689,,,
,1044,175165318,,,,,,,-114.5953035,35.04788,,,
,1045,175165496,,,,,,,-114.5307652,35.1856606,,,
,1046,175165498,,,,,,,-114.5309825,35.1858676,,,
,1047,175166253,,,,,,,-114.6066088,35.0866908,,,
,1048,175166615,,,,,,,-114.598046,35.0950831,,,
,1049,175166618,,,,,,,-114.5964976,35.0950863,,,
,1050,175166624,,,,,,,-114.5913687,35.0950275,,,
,1051,175166633,,,,,,,-114.5671947,35.0950696,,,
,1052,175166642,,,,,,,-114.5627708,35.0951332,,,
,1053,175065405,,,,,,,-114.5451326,35.0935609,,,
,1054,175166665,,,,,,,-114.5319011,35.144898,,,
,1055,175166689,,,,,,,-114.5287113,35.1461117,,,
,1056,175166696,,,,,,,-114.5300059,35.1464951,,,
,1057,175166703,turning_circle,,,,,,-114.531722,35.1468276,,,
,1058,175166741,,,,,,,-114.5575865,35.1112293,,,
,1059,175136640,turning_circle,,,,,,-114.5582102,35.1113147,,,
,1060,175166823,turning_circle,,,,,,-114.5489349,35.0822771,,,
,1061,175166841,turning_circle,,,,,,-114.5458194,35.0822,,,
,1062,175166852,,,,,,,-114.5633906,35.1072773,,,
,1063,175167363,,,,,,,-114.6139255,35.1030123,,,
,1064,175167365,,,,,,,-114.6154978,35.1030369,,,
,1065,175084022,,,,,,,-114.6174607,35.1034965,,,
,1066,6992618655,,,,,,,-114.6175683,35.1035872,,,
,1067,175167368,,,,,,,-114.61853,35.104418,,,
,1068,175168115,turning_circle,,,,,,-114.6018792,35.1110864,,,
,1069,175168891,,,,,,,-114.5540371,35.1063509,,,
,1070,175168895,,,,,,,-114.5586455,35.1065803,,,
,1071,175168897,,,,,,,-114.5622925,35.1072348,,,
,1072,175168903,,,,,,,-114.5644036,35.1072999,,,
,1073,175169116,,,,,,,-114.620202,35.1048896,,,
,1074,175169127,,,,,,,-114.5182284,35.1884708,,,
,1075,175169130,,,,,,,-114.5182063,35.1879511,,,
,1076,175169137,,,,,,,-114.5182228,35.1870571,,,
,1077,9507983979,,,,,,,-114.518386,35.1840635,,,
,1078,175169143,,,,,,,-114.5187099,35.1837981,,,
,1079,175169233,,,,,,,-114.5753421,35.0470292,,,
,1080,175169235,,,,,,,-114.5765028,35.0483098,,,
,1081,175169241,,,,,,,-114.5782564,35.0488866,,,
,1082,175169922,,,,,,,-114.61146,35.0832351,,,
,1083,175169932,,,,,,,-114.6093715,35.0845344,,,
,1084,175170243,,,,,,,-114.5554469,35.0838423,,,
,1085,175170244,,,,,,,-114.5533865,35.0838112,,,
,1086,175170256,,,,,,,-114.5516249,35.0828931,,,
,1087,175170283,,,,,,,-114.569423,35.0592856,,,
,1088,175170295,,,,,,,-114.5691261,35.0602321,,,
,1089,175170890,,,,,,,-114.5889104,35.0700355,,,
,1090,175170893,,,,,,,-114.5884762,35.0700242,,,
,1091,175170912,,,,,,,-114.6084254,35.0905513,,,
,1092,175170913,,,,,,,-114.6080801,35.0905491,,,
,1093,175170915,,,,,,,-114.6073644,35.0905485,,,
,1094,175170917,turning_circle,,,,,,-114.5696778,35.0454359,,,
,1095,175170921,,,,,,,-114.5904228,35.0489989,,,
,1096,175170924,,,,,,,-114.5902948,35.047874,,,
,1097,175136498,,,,,,,-114.6073363,35.0895556,,,
,1098,175171142,,,,,,,-114.6080882,35.0895534,,,
,1099,175171145,,,,,,,-114.6083823,35.0895556,,,
,1100,175171154,,,,,,,-114.6271743,35.1034843,,,
,1101,175171157,,,,,,,-114.6275437,35.1034602,,,
,1102,175171241,,,,,,,-114.606633,35.040306,,,
,1103,175171248,,,,,,,-114.602388,35.040331,,,
,1104,175171393,,,,,,,-114.640953,35.1018138,,,
,1105,6992522326,,,,,,,-114.6408507,35.1018342,,,
,1106,175171400,,,,,,,-114.6385821,35.1020525,,,
,1107,175171402,,,,,,,-114.6377369,35.1020589,,,
,1108,175171546,,,,,,,-114.5260503,35.1857925,,,
,1109,175171549,,,,,,,-114.5251475,35.1866753,,,
,1110,175171552,,,,,,,-114.5244545,35.1873175,,,
,1111,175171564,,,,,,,-114.5225473,35.189123,,,
,1112,175171568,,,,,,,-114.5225279,35.1899157,,,
,1113,175171990,,,,,,,-114.5492297,35.0798721,,,
,1114,175171998,,,,,,,-114.5457654,35.0796211,,,
,1115,175172032,turning_circle,,,,,,-114.6002786,35.0857637,,,
,1116,175172034,turning_circle,,,,,,-114.601873,35.0876486,,,
,1117,175172422,,,,,,,-114.620948,35.095605,,,
,1118,175172429,turning_circle,,,,,,-114.6214393,35.0966878,,,
,1119,1464400527,,,,,,,-114.5702699,35.1423937,,,
,1120,175172763,,,,,,,-114.5693542,35.1478455,,,
,1121,175172767,,,,,,,-114.569072,35.149636,,,
,1122,175172769,,,,,,,-114.5688148,35.1514507,,,
,1123,175172772,,,,,,,-114.5685245,35.1532466,,,
,1124,904635291,,,,,,,-114.5745628,35.1099237,,,
,1125,175173346,,,,,,,-114.5748025,35.1097175,,,
,1126,175173350,,,,,,,-114.5753642,35.1091275,,,
,1127,175173359,,,,,,,-114.5755614,35.1072658,,,
,1128,175148128,,,,,,,-114.5755929,35.1066323,,,
,1129,175173368,,,,,,,-114.5755996,35.1062745,,,
,1130,175173371,,,,,,,-114.5757881,35.1052705,,,
,1131,175173376,,,,,,,-114.5758709,35.1049072,,,
,1132,175173383,,,,,,,-114.5760105,35.1041603,,,
,1133,175173589,,,,,,,-114.5494929,35.1716072,,,
,1134,175173591,turning_circle,,,,,,-114.5497643,35.1713967,,,
,1135,175173747,,,,,,,-114.6048752,35.1152169,,,
,1136,175173750,,,,,,,-114.604794,35.119975,,,
,1137,175173943,,,,,,,-114.5937367,35.0478792,,,
,1138,175173957,,,,,,,-114.5912547,35.0489834,,,
,1139,175175017,,,,,,,-114.5996025,35.1152173,,,
,1140,175175021,turning_circle,,,,,,-114.5994654,35.1146624,,,
,1141,175175238,,,,,,,-114.6201679,35.0985385,,,
,1142,175175409,turning_circle,,,,,,-114.5598186,35.081287,,,
,1143,175175413,,,,,,,-114.5597593,35.0809111,,,
,1144,175175421,turning_circle,,,,,,-114.5622283,35.0809624,,,
,1145,175175424,,,,,,,-114.5612301,35.08084,,,
,1146,175175431,,,,,,,-114.5606538,35.0807735,,,
,1147,175175565,,,,,,,-114.5980562,35.1092043,,,
,1148,175175578,,,,,,,-114.5966049,35.1108897,,,
,1149,175175588,,,,,,,-114.5960271,35.1149877,,,
,1150,175176938,,,,,,,-114.6265349,35.1024334,,,
,1151,175176940,,,,,,,-114.627409,35.102673,,,
,1152,175176942,,,,,,,-114.6285235,35.1031982,,,
,1153,175176943,,,,,,,-114.6296308,35.1037738,,,
,1154,175176944,,,,,,,-114.6302879,35.1040953,,,
,1155,175176946,,,,,,,-114.6308054,35.1043751,,,
,1156,175176948,,,,,,,-114.6313185,35.1046572,,,
,1157,175176953,,,,,,,-114.6327846,35.1079727,,,
,1158,175084018,,,,,,,-114.6180118,35.1031025,,,
,1159,6992618644,,,,,,,-114.6180934,35.1031939,,,
,1160,175177105,,,,,,,-114.6076855,35.0803292,,,
,1161,175177113,,,,,,,-114.6054975,35.0815053,,,
,1162,175177245,,,,,,,-114.618615,35.105975,,,
,1163,175177284,,,,,,,-114.528258,35.0984701,,,
,1164,175177287,,,,,,,-114.5372994,35.0963517,,,
,1165,175177290,,,,,,,-114.5383947,35.0955739,,,
,1166,175177293,,,,,,,-114.5391483,35.0948121,,,
,1167,175216725,traffic_signals,,signal,,,,-114.598055,35.1074095,,,
,1168,175177322,,,,,,,-114.5954209,35.106356,,,
,1169,175177327,,,,,,,-114.593902,35.1083108,,,
,1170,175177336,,,,,,,-114.5912686,35.112953,,,
,1171,175177674,,,,,,,-114.5459231,35.1765647,,,
,1172,175177679,,,,,,,-114.5458235,35.1774017,,,
,1173,175177913,,,,,,,-114.5095161,35.1787621,,,
,1174,175177919,,,,,,,-114.5107698,35.1787231,,,
,1175,175177923,,,,,,,-114.5128522,35.1787608,,,
,1176,175178117,,,,,,,-114.59558,35.0729363,,,
,1177,175178131,,,,,,,-114.5987613,35.0719907,,,
,1178,175178173,,,,,,,-114.5411617,35.1799987,,,
,1179,175178175,turning_circle,,,,,,-114.5411513,35.1796631,,,
